Organization,Years in GSoC,Total
Differ,2012,1
Dojo Foundation ,2010,1
DokuWiki,2011,1
Dr Memory,2014,1
Dreamwidth Studios,2010,1
Drizzle Database,2013,1
ES Operating System,2009,1
Earth Science Information Partners,2019,1
Earth Science Information Partners ESIP ,2018,1
Eclipse Vert x,2017,1
Ecole Polytechnique Federale de Lausanne Scala Team,2011,1
Elgg,2011,1
Elm Software Foundation,2017,1
Elm Tooling,2021,1
Embox,2020,1
Encyclopedia of Life,2015,1
Environmental Data And Governance Initiative,2017,1
Erlang Ecosystem Foundation,2020,1
Eta,2018,1
European Smalltalk User Group ESUG ,2010,1
European Space Agency The Advanced Concepts Team,2010,1
Evergreen,2012,1
Evergreen Project,2011,1
Expert Labs,2010,1
FFmpeg Libav,2011,1
FOSDEM VZW,2016,1
FOSSology Project,2019,1
Facebook,2010,1
Fedora Project JBoss org Red Hat ,2009,1
FiberCorps,2011,1
Fiji,2009,1
Flowgrammable,2014,1
Formal Systems Laboratory at UIUC,2012,1
Fortran lang,2021,1
Foundation for Learning Equality,2015,1
FrameNet Brasil at the Federal University of Juiz de Fora,2019,1
Free Software Initiative of Japan,2009,1
Free UK Genealogy,2018,1
Freeseer recording and streaming suite,2012,1
Freeseer video recording and streaming suite,2011,1
Frenetic,2014,1
Frescobaldi,2017,1
Funf org,2013,1
GCC,2009,1
GDevelop,2020,1
GENIVI Development Platform,2017,1
GFOSS Open Technologies Alliance,2018,1
GFOSS Open Technology Alliance,2021,1
GIMP,2012,1
GNOME Foundation,2021,1
GNOME Project,2011,1
GNU Compiler Collection,2019,1
GNU Image Manipulation Program GIMP,2010,1
GNU Mailman Project,2021,1
GNU Project ,2011,1
GRR Rapid Response,2021,1
Ganglia,2014,1
GenMAPP,2009,1
GenMAPP Cytoscape WikiPathways Reactome,2010,1
Genome Assembly and Annotation,2021,1
Gentoo,2009,1
Gephi NGO,2010,1
Git Development Community,2009,1
GitLab,2021,1
GnuCash Free Accounting Software,2011,1
Google Caja,2010,1
Google FHIR SDK,2021,1
Google Kubernetes,2015,1
Google s Open Source Programs Office,2009,1
Grameen Foundation,2010,1
Grameen Foundation MOTECH,2014,1
GraphQL Foundation,2020,1
Groovy Community,2014,1
HPCC Systems ,2015,1
Hackystat,2009,1
Halide,2021,1
Haskell Org,2019,1
Hazelcast,2020,1
Helsinki Institute for Information Technology,2011,1
Hugin Panorama photo stitcher,2011,1
Hugin Panotools,2009,1
Hugin and panotools,2010,1
IP over P2P Project,2015,1
Inclusive Design Institute IDI ,2011,1
Indic Project,2016,1
Inria Foundation,2018,1
Institut f r Angewandte Informatik InfAI e V ,2019,1
Integrated Ocean Observing System IOOS ,2021,1
Intel Media and Audio for Linux,2017,1
Intel Video and Audio for Linux,2021,1
Interactive Spaces,2015,1
International Catrobat Association,2021,1
Iowa Flood Center,2013,1
Isabelle,2011,1
Italian Mars Society,2014,1
Italian Mars Society ,2013,1
JGraphT,2018,1
JabRef,2019,1
JabRef e V ,2021,1
Jato,2009,1
Jato VM,2011,1
Java PathFinder,2021,1
Java Pathfinder Team,2016,1
Jenkins Project,2016,1
Jitsi SIP Communicator Kamailio and SEMS,2011,1
KNIME,2019,1
Kodi,2021,1
KolibriOS,2016,1
KolibriOS Project Team,2014,1
Komodo OpenLab,2012,1
Komodo OpenLab Inc ,2011,1
Kubeflow,2020,1
LXDE Project,2010,1
Laboratory for Cosmological Data Mining,2014,1
LanguageTool,2011,1
Learning Equality,2021,1
Learning Unlimited,2011,1
Learning Unlimited Inc ,2012,1
Libav,2012,1
LibreCube Initiative,2021,1
Linaro,2014,1
LyX The Document Processor,2013,1
LyX The Document Processor ,2014,1
MBDyn Department of Aerospace Engineering at the Polytechnic University of Milan,2015,1
MBDyn Department of Aerospace Science and Technology at Politecnico di Milano,2016,1
MBDyn Multibody Dynamics,2019,1
MEDES IMPS,2015,1
MINIX 3 Group at the VU,2010,1
MINIX 3 Research group at the Vrije Universiteit in Amsterdam The Netherlands,2011,1
MIT Center for Mobile Learning The Media Lab,2012,1
MLton org,2013,1
MZmine,2020,1
Machine Learning for Science ML4SCI Umbrella Organization,2021,1
MapAction,2021,1
Marine Biological Laboratory Biodiversity Informatics Group Encyclopedia of Life Project,2010,1
Marine Biological Laboratory Center for Library and Informatics,2011,1
Maryland Institute for Technology in the Humanities,2013,1
Matrix,2020,1
Mayor s Office of New Urban Mechanics City of Boston ,2021,1
McGill Space Institute,2016,1
Measurement Lab,2012,1
Measurement Lab M Lab ,2013,1
Media Cloud,2021,1
MediaPipe,2021,1
Mercurial,2013,1
Mercurial Distributed Version Control System,2010,1
Mercurial a member of the Software Freedom Conservancy ,2009,1
MetaCall,2021,1
Metalink,2012,1
Microkernel devroom,2017,1
Mifos,2009,1
Mifos The Community for Open Source Microfinance ,2013,1
MinnowBoard Project,2015,1
Mixxx Digital DJ,2010,1
ModSecurity,2016,1
MoinMoin,2011,1
Monkey HTTP Daemon,2012,1
Mozilla Project,2009,1
MySQL,2009,1
NTP,2011,1
NTP Project,2009,1
Named Data Networking Project,2019,1
National Center for Supercomputing Applications,2009,1
National Evolutionary Synthesis Center,2012,1
National Library of the Czech Republic,2013,1
National Resource for Network Biology GenMAPP Cytoscape and WikiPathways ,2011,1
Native Client,2009,1
Natural User Interface Group NUI Group ,2010,1
Navidrome,2021,1
Netty,2020,1
Network Time,2012,1
New Visions for Public Schools,2012,1
Ninux org,2012,1
OGRE,2009,1
OGRE Open Source 3D Graphics Engine,2011,1
OPeNDAP Inc ,2010,1
OSGeo The Open Source Geospatial Foundation,2016,1
OSU Open Source Lab,2016,1
OSv,2014,1
OW2,2018,1
OWASP,2013,1
OncoBlocks,2015,1
Open Astronomy,2019,1
Open Bioinformatics Foundation OBF ,2020,1
Open Education Resource Foundation,2014,1
Open Ephys,2016,1
Open Food Facts,2018,1
Open Motion Planning Library,2014,1
Open Networking Lab,2013,1
Open Roberta Lab,2018,1
Open Robotics,2021,1
Open Source Computer Vision Library,2010,1
Open Technologies Aliance GFOSS,2019,1
Open Technologies Alliance GFOSS,2017,1
Open64,2009,1
OpenCensus,2018,1
OpenChange a project of the Free Software Conservancy ,2009,1
OpenCog Foundation,2012,1
OpenCog sponsored by the Singularity Institute for Artificial Intelligence,2009,1
OpenEMR,2020,1
OpenFlowHub,2012,1
OpenHMD,2020,1
OpenICC Color Management,2011,1
OpenInkpot project,2010,1
OpenNebula,2010,1
OpenRefine,2020,1
OpenSIPS,2018,1
OpenSSH,2009,1
Opencast Matterhorn ,2012,1
Openwall Project,2011,1
OpnTec,2018,1
Opticks,2010,1
PHP,2009,1
PKIF project,2009,1
PLSE at UW,2010,1
PaGMO PyGMO,2013,1
PaGMO PyKEP,2015,1
PacketFence,2012,1
Pencil Code Foundation,2015,1
Peragro,2016,1
PiTiVi video editor,2013,1
Pidgin Instant Messenger,2021,1
Plan 9 Foundation,2021,1
Plone,2018,1
Pocket Science Lab,2018,1
Polypheny,2021,1
Portable Native Client,2015,1
PostgreSQL Global Development Group,2011,1
Princeton Center for Information Technology Policy,2010,1
Privly Foundation,2015,1
Probot,2018,1
Project PANOPTES,2019,1
Project Tox,2014,1
Project WikiLoop,2021,1
Ptolemy Project University of California Berkeley,2009,1
Puppet Labs,2012,1
Puppet Reductive Labs ,2010,1
Python HYDRA,2018,1
QEMU development team,2010,1
Quagga OpenSourceRouting ISC,2013,1
Quill org,2018,1
R Foundation for Statistical Computing,2009,1
R Project for Statistical Computing ,2011,1
R Project for statistical Computing,2013,1
RIOT,2015,1
Radare,2020,1
React Native Elements,2021,1
Rizin,2021,1
Robocomp,2016,1
RooStats,2012,1
Rspamd spam filtering system,2015,1
Ruby Science Foundation SciRuby ,2014,1
SCoRe Lab Sustainable Computing Research Lab ,2019,1
SCons next generation build system,2009,1
SETI Institute,2011,1
SPDX Software Product Data Exchange ,2019,1
Sahana,2009,1
Salesforce,2019,1
Saros,2015,1
Scala Center,2021,1
Scilab Consortium Digiteo Foundation,2010,1
Scilab Digiteo Foundation,2009,1
Scribus,2012,1
Seastar,2018,1
Sencha Labs,2011,1
Shaka Player,2021,1
Shogun,2020,1
Shogun Machine Learning Toolbox Technical University Berlin Max Planck Campus T bingen ,2011,1
SilverStripe,2012,1
Software Freedom Conservancy Inc ,2014,1
Software Product Data Exchange SPDX ,2017,1
Soletta Project,2016,1
Space Virginia Tech,2018,1
Statistics Online Computational Resource,2012,1
Ste ar group,2020,1
Stellarium,2012,1
Stemformatics,2018,1
Stratosphere Project,2014,1
Streetmix,2018,1
Subversion,2009,1
Sugar Labs educational platform a member of the SFC ,2009,1
Sunlight Foundation,2009,1
SyncDiff erent ,2014,1
Systers,2012,1
Systers Community,2018,1
Systers an Anita Borg Institute community,2017,1
TEAMMATES Project National University of Singapore,2014,1
TLA ,2018,1
Tahoe LAFS,2010,1
Tarantool,2021,1
Tcl Community Association,2009,1
The Aqsis Team,2009,1
The Battle for Wesnoth,2011,1
The CGAL Project ,2014,1
The Centre for Computational Medicine,2013,1
The ENIGMA Team,2021,1
The Eclipse Foundation ,2010,1
The Electronic Frontier Foundation The Tor Project,2009,1
The Enlightenment Project,2009,1
The Fedora Project ,2014,1
The FreeType Project,2017,1
The Freenet Project,2009,1
The LLVM Compiler Infrastructure ,2012,1
The Monarch Initiative,2016,1
The Mono Project,2010,1
The NTP Forum,2010,1
The NetBSD Project,2009,1
The Open Motion Planning Library,2013,1
The OpenStack Foundation,2014,1
The Outercurve Foundation,2012,1
The Palisadoes Foundation,2021,1
The Postgres Operator,2019,1
The Qt Project,2018,1
The R Project for Statistical Computing,2021,1
The Syslinux Project,2009,1
The Tor Project,2016,1
The Tor Project Electronic Frontier Foundation,2010,1
The Tor Project and EFF,2014,1
The Vega Project at the University of Washington,2019,1
The Vega Visualization Tools by the UW Interactive Data Lab,2018,1
The Visualization Toolkit,2015,1
The syslog ng project ,2018,1
Theoretical Biophysics Humboldt University,2011,1
TianoCore,2021,1
TikiWiki CMS Groupware,2009,1
Tiled,2017,1
TimVideos,2017,1
Timelab Technologies Ltd ,2016,1
Tokio,2019,1
Tox,2015,1
Tungsten Fabric,2019,1
TurboGears,2009,1
Ubuntu,2010,1
Unitex GramLab,2016,1
Universal Subtitles,2011,1
University of Nebraska Helikar Lab,2015,1
Unknown Horizons,2011,1
Unknown Horizons and FIFE,2012,1
Ushahidi,2010,1
Vert x,2016,1
VideoLAN VLMC Project,2016,1
Wayland,2016,1
WinLibre,2009,1
Wine,2011,1
Wine Project,2013,1
Wine a project of Software Freedom Conservancy ,2012,1
World Wide Web Consortium W3C ,2013,1
WorldBrain Verifying the Internet with Science,2017,1
WorldBrain io Verifying the Internet,2018,1
X org Foundation,2018,1
XBMC,2013,1
XMMS2 X platform Music Multiplexing System 2,2011,1
XMPP Standards Foundation XSF ,2019,1
Xelerance Corporation,2009,1
Xen org,2011,1
Xfce,2021,1
Xi Editor,2019,1
Xi Editor Project,2018,1
YafaRay Yet Another Free Raytracer ,2010,1
Zenodo,2017,1
ZynAddSubFX,2019,1
afl ,2020,1
biographer,2012,1
darktable,2011,1
dbpediaspotlight,2016,1
e cidadania,2012,1
fluxbox,2011,1
gVisor,2021,1
gnss sdr,2016,1
iPXE,2012,1
illumos org,2017,1
jMonkeyEngine,2014,1
languagetool org,2018,1
libcamera,2021,1
mlpack a scalable C machine learning library,2016,1
mySociety,2012,1
omegaUp com,2018,1
openastronomy,2021,1
radare2,2017,1
shogun ml,2019,1
twitter,2013,1
xen org,2010,1
xpra,2019,1
xpra org,2018,1
xrdesktop,2021,1
